State,Zip Code,Returns Filed,AGI
PA,17211,210,8178
PA,17202,15040,922450
PA,17201,13600,630323
PA,17113,5810,215102
PA,17112,18580,1463414
PA,17111,17410,1083222
PA,17110,13740,821446
PA,17109,13030,583598
PA,17104,8990,256115
PA,17103,6010,160258
PA,17102,4180,173310
PA,17101,1160,44671
PA,17099,550,20260
PA,17098,1170,48955
PA,17094,1150,53865
PA,17090,2600,135460
PA,17087,1290,71443
PA,17086,1110,51049
PA,17084,2080,116038
PA,17082,1550,71085
PA,17078,11640,742711
PA,17074,3570,174908
PA,17073,2660,151801
PA,17070,8810,520193
PA,17068,2040,104295
PA,17067,7210,396767
PA,17066,2280,84297
PA,17065,2070,105907
PA,17063,1500,58908
PA,17062,1990,110727
PA,17061,3320,176312
PA,17060,560,20528
PA,17059,3480,173332
PA,17058,830,32462
PA,17057,11030,573249
PA,17055,19760,1539201
PA,17053,2680,146141
PA,17052,690,29539
PA,17051,2040,90926
PA,17050,19410,1819120
PA,17049,1510,76873
PA,17048,1820,75528
PA,17047,1140,57486
PA,17046,14640,574415
PA,17045,1560,76797
PA,17044,9650,422125
PA,17043,3480,260555
PA,17042,18690,1082919
PA,17040,1210,63110
PA,17038,4010,206797
PA,17037,480,21087
PA,17036,11930,1128121
PA,17035,360,14221
PA,17034,1390,51628
PA,17033,7740,619549
PA,17032,3990,223600
PA,17030,410,18033
PA,17029,160,6292
PA,17028,1890,97066
PA,17026,1810,93936
PA,17025,9200,598889
PA,17024,930,52171
PA,17023,1650,82000
PA,17022,14730,961603
PA,17021,430,17615
PA,17020,4480,231361
PA,17019,9110,619769
PA,17018,2320,148681
PA,17017,840,41441
PA,17015,11590,823602
PA,17013,16670,930497
PA,17011,17340,1283103
PA,17009,990,38548
PA,17007,2940,225631
PA,17006,490,19971
PA,17004,1970,86722
PA,17003,5390,342145
PA,17002,260,12168
PA,16950,1500,77835
PA,16948,680,38007
PA,16947,2120,114006
PA,16946,1200,58544
PA,16943,220,12072
PA,16942,360,16066
PA,16938,360,15011
PA,16936,980,46677
PA,16935,570,30422
PA,16933,2720,141961
PA,16932,320,17289
PA,16930,610,36379
PA,16929,1080,51661
PA,16928,580,33682
PA,16927,240,10917
PA,16926,380,19609
PA,16925,1510,73066
PA,16923,560,28072
PA,16922,870,37470
PA,16921,260,12021
PA,16920,810,35597
PA,16917,720,33997
PA,16915,2640,168047
PA,16914,1060,52699
PA,16912,930,42405
PA,16901,4800,265399
PA,16882,180,6323
PA,16881,960,42218
PA,16879,190,6837
PA,16878,880,40913
PA,16877,820,56592
PA,16875,1810,104056
PA,16874,660,29829
PA,16872,580,23228
PA,16870,3510,352626
PA,16866,3810,178187
PA,16865,860,61428
PA,16863,360,15270
PA,16861,140,4751
PA,16860,170,7878
PA,16859,220,9567
PA,16858,1690,76801
PA,16854,530,22218
PA,16852,150,6287
PA,16845,340,14033
PA,16844,1270,66201
PA,16841,2470,128349
PA,16840,240,9321
PA,16839,210,8082
PA,16838,850,37911
PA,16836,550,22216
PA,16833,2470,102645
PA,16832,220,9278
PA,16830,6400,279074
PA,16829,360,15888
PA,16828,2200,136669
PA,16827,2470,227158
