Stn ID,Average AGI,Connectors,Nearest Zip Distance,Stn Lat,Stn Lng,Stn State,Zip Code,formatted_agi
75741.0,49666.67,2.0,,44.310629,-124.101956,OR,97498,"$49,666.67"
75742.0,69910.84,1.0,,45.294038,-123.040682,OR,97115,"$69,910.84"
75743.0,42347.83,2.0,,44.462927,-118.709152,OR,97869,"$42,347.83"
75744.0,47848.44,2.0,,44.396832,-124.08724299999999,OR,97394,"$47,848.44"
75745.0,47249.38,1.0,,43.034574,-124.40606499999998,OR,97411,"$47,249.38"
75746.0,42282.89,1.0,,36.262029999999996,-90.970012,AR,72455,"$42,282.89"
75747.0,54102.48,1.0,,41.308741,-72.932698,CT,06511,"$54,102.48"
75748.0,116097.31,1.0,,41.118956,-74.113681,NY,10901,"$116,097.31"
75749.0,42595.34,2.0,,40.689444,-73.978543,NY,11214,"$42,595.34"
75750.0,404103.21,2.0,,40.704864,-74.009847,NY,10004,"$404,103.21"
75752.0,233637.4,2.0,,40.742968,-73.980565,NY,10016,"$233,637.40"
75753.0,355015.92,2.0,,40.774198999999996,-73.98425,NY,10023,"$355,015.92"
75754.0,151400.6,2.0,,40.793532,-73.97023100000001,NY,10025,"$151,400.60"
75755.0,562339.66,2.0,,40.762763,-73.965591,NY,10021,"$562,339.66"
75756.0,339326.69,2.0,,40.786348,-73.977373,NY,10024,"$339,326.69"
75757.0,514786.95,2.0,,40.760605,-73.96434,NY,10022,"$514,786.95"
75758.0,514786.95,2.0,,40.7593,-73.965284,NY,10022,"$514,786.95"
75759.0,452724.78,2.0,,40.717620000000004,-74.01060799999999,NY,10013,"$452,724.78"
75760.0,231156.75,2.0,,40.744145,-73.989835,NY,10010,"$231,156.75"
75761.0,231156.75,2.0,,40.740904,-73.98896500000001,NY,10010,"$231,156.75"
75762.0,313277.72,2.0,,40.737266,-73.99611,NY,10011,"$313,277.72"
75763.0,233637.4,2.0,,40.748086,-73.97681899999999,NY,10016,"$233,637.40"
75764.0,392301.24,2.0,,40.751427,-73.986598,NY,10018,"$392,301.24"
75765.0,562339.66,2.0,,40.766842,-73.95259,NY,10021,"$562,339.66"
75766.0,102530.3,1.0,,41.589244,-74.713261,NY,12777,"$102,530.30"
75767.0,562339.66,2.0,,40.770627000000005,-73.960572,NY,10021,"$562,339.66"
75768.0,426012.13,2.0,,40.751578,-73.969043,NY,10017,"$426,012.13"
75769.0,339326.69,2.0,,40.787791,-73.971222,NY,10024,"$339,326.69"
75770.0,63034.67,12.0,,42.9658,-72.5231,VT,05346,"$63,034.67"
75773.0,66130.19,1.0,,33.6703634,-112.22498909999999,AZ,85308,"$66,130.19"
75774.0,122564.58,1.0,,32.271440399999996,-110.8398838,AZ,85750,"$122,564.58"
75775.0,147483.76,9.0,,37.544828,-122.29061000000002,CA,94403,"$147,483.76"
75777.0,50504.45,1.0,,42.46006802,-83.13309717,MI,48220,"$50,504.45"
75778.0,103120.93,3.0,,33.072767,-97.086686,TX,75077,"$103,120.93"
75780.0,70342.62,2.0,,32.829268400000004,-117.12769399999999,CA,92123,"$70,342.62"
75781.0,129956.48,4.0,,41.271159999999995,-96.1935275,NE,68022,"$129,956.48"
75782.0,34326.25,4.0,,30.204973,-97.663238,TX,78719,"$34,326.25"
75791.0,60418.34,1.0,,34.705506,-82.2574,SC,29680,"$60,418.34"
75793.0,71148.36,1.0,,34.821683,-82.416933,SC,29605,"$71,148.36"
75794.0,68370.3,2.0,,34.851156,-82.379991,SC,29607,"$68,370.30"
75820.0,371887.91,4.0,,37.788877,-122.400282,CA,94105,"$371,887.91"
75821.0,102236.15,1.0,,33.457689,-117.670657,CA,92624,"$102,236.15"
75822.0,65383.15,1.0,,34.045774,-118.26591200000001,CA,90015,"$65,383.15"
75823.0,84566.81,2.0,,36.732749,-119.783671,CA,93720,"$84,566.81"
75824.0,80067.9,2.0,,33.781824,-116.35868,CA,92211,"$80,067.90"
75825.0,61281.04,2.0,,34.150481,-117.229147,CA,92346,"$61,281.04"
